timestamp_utc,session,member,video_id,views,likes
2026-05-30T14:00:57.122295+00:00,0530 MCOUNTDOWN 가로 직캠,준서,IDUj4iY5Kfk,2459,511
2026-05-30T14:00:57.122295+00:00,0530 음악중심,상원,QvY2B4BWYSQ,3960,1083
2026-05-30T14:00:57.122295+00:00,0530 음악중심,안신,2wwWOyJxHGA,2097,632
2026-05-30T14:00:57.122295+00:00,0530 음악중심,씬롱,zjZrlOsdRlk,4020,1206
2026-05-30T14:00:57.122295+00:00,0530 음악중심,아르노,ii9f6wQHmCU,2828,794
2026-05-30T14:00:57.122295+00:00,0530 음악중심,리오,hFzZt3MeAtY,3404,1072
2026-05-30T14:00:57.122295+00:00,0530 음악중심,상현,Ro_NFYTxfxY,1731,293
2026-05-30T14:00:57.122295+00:00,0530 음악중심,준서,lAsf2DeuEgk,1487,467
2026-05-30T14:05:48.075537+00:00,0530 MCOUNTDOWN 가로 직캠,상원,zd5kcD00tZs,4824,1154
2026-05-30T14:05:48.075537+00:00,0530 MCOUNTDOWN 가로 직캠,씬롱,HPyemQX4Hhs,5593,1547
2026-05-30T14:05:48.075537+00:00,0530 MCOUNTDOWN 가로 직캠,아르노,SNz-1DBF3x0,2750,661
2026-05-30T14:05:48.075537+00:00,0530 MCOUNTDOWN 가로 직캠,준서,IDUj4iY5Kfk,2486,516
2026-05-30T14:05:48.075537+00:00,0530 음악중심,상원,QvY2B4BWYSQ,4026,1092
2026-05-30T14:05:48.075537+00:00,0530 음악중심,안신,2wwWOyJxHGA,2131,636
2026-05-30T14:05:48.075537+00:00,0530 음악중심,씬롱,zjZrlOsdRlk,4087,1208
2026-05-30T14:05:48.075537+00:00,0530 음악중심,아르노,ii9f6wQHmCU,2849,796
2026-05-30T14:05:48.075537+00:00,0530 음악중심,리오,hFzZt3MeAtY,3471,1084
2026-05-30T14:05:48.075537+00:00,0530 음악중심,상현,Ro_NFYTxfxY,1872,294
2026-05-30T14:05:48.075537+00:00,0530 음악중심,준서,lAsf2DeuEgk,1512,472
2026-05-30T14:10:46.329858+00:00,0530 MCOUNTDOWN 가로 직캠,상원,zd5kcD00tZs,4852,1157
2026-05-30T14:10:46.329858+00:00,0530 MCOUNTDOWN 가로 직캠,씬롱,HPyemQX4Hhs,5629,1553
2026-05-30T14:10:46.329858+00:00,0530 MCOUNTDOWN 가로 직캠,아르노,SNz-1DBF3x0,2750,666
2026-05-30T14:10:46.329858+00:00,0530 MCOUNTDOWN 가로 직캠,준서,IDUj4iY5Kfk,2494,519
2026-05-30T14:10:46.329858+00:00,0530 음악중심,상원,QvY2B4BWYSQ,4062,1096
